Название;Описание;Цена;Количество игроков;Время игры;Возрастное ограничение;Ссылка
Тропы Туканы: Паромы;Новые острова!;990₽;_1-8;_до 15;8+;https://hobbygames.ru/tropi-tukani-paromi
"Набор игр ""Замес"": ""Первый Межгалактический""";Ну и ну! Что происходит?;2950₽;_2-4;_30-45;12+;https://hobbygames.ru/mezhgalakticheskij-zames-1
Келюс 1303;Станьте самым уважаемым строителем;3990₽;_2-5;_60-90;14+;https://hobbygames.ru/keljus-1303
Время приключений. Карточные войны: Бимо против Леди Ливнерог;Продолжение приключений в землях Ууу!;1290₽;_2;_30+;10+;https://hobbygames.ru/vremja-prikljuchenij-kartochnie-vojni-bimo-protiv-ledi-livnerog
Войны Ктулху: Дуэль. Вымирание;Спящий против Оседлавшего ветер;2990₽;_2;_20-30;8+;https://hobbygames.ru/vojni-ktulhu-dujel-vimiranie
Манчкин: Драконы;Сразись с драконом и его друзьями!;390₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-drakoni
Монополия: Россия;Любимая игра о любимой стране;3490₽;_2-6;_20-40;8+;https://hobbygames.ru/monopolija-rossija
На Грани;Почему это происходит с нами?..;1290₽;_2;_20-40;12+;https://hobbygames.ru/na-grani
Экивоки: Полный вперёд!;Объясняем слова на тему путешествий по миру;790₽;_2-16;_30+;10+;https://hobbygames.ru/jekivoki-polnij-vpered
Пандемия: На грани;Теперь на стороне болезни ещё и террористы...;2490₽;_2-5;_45+;8+;https://hobbygames.ru/pandemija-na-grani
У кого больше;Измерьте линейкой;1490₽;_2-8;_25-100;18+;https://hobbygames.ru/u-kogo-bolshe
Энциклопедия: Большое путешествие;Ещё больше открытий!;990₽;_1-4;_25-100;13+;https://hobbygames.ru/jenciklopedija-bolshoe-puteshestvie
Кулинариум;Кто из вас лучший шеф-повар?;990₽;_2-6;_40-90;10+;https://hobbygames.ru/kulinarium
Замки и Катапульты;Да начнутся настольные войны!;3490₽;_2;_30-45;14+;https://hobbygames.ru/zamki-i-katapulti
Алое восстание;Космическая антиутопия;1990₽;_1-6;_45-60;12+;https://hobbygames.ru/aloe-vosstanie
Зомби в городе;Объединитесь против орд зомби!;1890₽;_2-4;_15-25;8+;https://hobbygames.ru/zombi-v-gorode
Бесконечный Вася;Докажите, что вы – настоящий!;1490₽;_3-6;_40;13+;https://hobbygames.ru/beskonechnij-vasja
Соображарий Junior;Настольная карточная викторина для детей!;490₽;_2-6;_10+;5+;https://hobbygames.ru/soobrazharij-junior
Cowboy Bebop: Космическая серенада;Анимешный космобой;4490₽;_2-4;_30-60;10+;https://hobbygames.ru/kovboj-bibop
Манчкин: Начало;"Ты у самых истоков создания ""Манчкина""";990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-nachalo
Лаваленд;Фрукты, лава, к лодке бег;2490₽;_3-5;_30;8+;https://hobbygames.ru/lavalend
Манчкин: Апокалипсис;Конец близоГ !;1290₽;_3-6;_30+;10+;https://hobbygames.ru/manchkin-apokalipsis
Детективные хроники: Фламандское завещание;Месть или воля судьбы?;690₽;_1-6;_60;13+;https://hobbygames.ru/detektivnie-hroniki-flamandskoe-zaveshhanie
Свинтус: Правила этикета;Бюрократия сведёт с ума!;490₽;_2-10;_10-30;5+;https://hobbygames.ru/svintus-pravila-jetiketa
Runebound. Третья редакция. Дополнительный сценарий: Падение тёмной звезды;Помогите героям спасти Терринот!;1290₽;_2-4;_120-180;14+;https://hobbygames.ru/runebound-tretja-redakcija-dopolnitelnij-scenarij-padenie-tjomnoj-zvezdi
Спящие королевы 2: Спасение королей;Проснулись, потянулись;1190₽;_2-5;_20;8+;https://hobbygames.ru/spjashhie-korolevi-2-spasenie-korolej
Кровус Максимус;Хлеба и зрелищ!;690₽;_1-8;_20-45;18+;https://hobbygames.ru/krovus-maksimus
Спящие королевы;Разбуди царскую особу;690₽;_2-5;_10-15;7+;https://hobbygames.ru/spjashhie-korolevi
Однажды в Чикаго: 1930;Начало Великой Депрессии;3800₽;_1+;_100+;18+;https://hobbygames.ru/odnazhdi-v-chikago-1930
Бело4ка;– Я пришла!;790₽;_3-9;_20+;18+;https://hobbygames.ru/belo4ka
Cut The Rope (издание Magic);Накормите Ам Няма вкусными конфетками!;790₽;_2-8;_15+;6+;https://hobbygames.ru/cut-the-rope-izdanie-magic
Ответь за 5 секунд;Вспомните три породы собак?;2490₽;_3-6;_20;8+;https://hobbygames.ru/otvet-za-5-sekund
Неустрашимые: Северная Африка;К победе по раскалённым пескам;2790₽;_2;_30-60;14+;https://hobbygames.ru/neustrashimie-severnaja-afrika
Венский связной;Жар холодной войны;4490₽;_1-5;_180;16+;https://hobbygames.ru/venskij-svjaznoj
Ответь за 5 секунд: Без цензуры;Пошлые вопросы;2490₽;_3-6;_20+;18+;https://hobbygames.ru/otvet-za-5-sekund-bez-cenzuri
Детективные хроники: Смерть в отражении;Куда пропала Даниэль?;690₽;_1-6;_60;13+;https://hobbygames.ru/detektivnie-hroniki-smert-v-otrazhenii
Детективные хроники: Букет в багровых тонах;Как умер граф?;690₽;_1-6;_60+;13+;https://hobbygames.ru/detektivnie-hroniki-buket-v-bagrovih-tonah
Манчкин: Рыцари;Драконы, принцессы, турниры, манчкины;390₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-ricari
Миры Ктулху;Сведите противника с ума!;990₽;_2-4;_25+;13+;https://hobbygames.ru/miri-ktulhu
Ужас Аркхэма. Карточная игра: Наследие Данвича. Экспресс округа Эссекс;Из этого поезда не сбежать...;790₽;_1-2;_60-120;14+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-nasledie-danvicha-jekspress-okruga-jesseks
Идеальный кадр;Остановись, мгновенье;2990₽;_2-4;_45;10+;https://hobbygames.ru/idealnij-kadr
Steam. Железнодорожный магнат;Стань сильнейшим промышленным магнатом!;3490₽;_3-5;_90+;12+;https://hobbygames.ru/steam-zheleznodorozhnij-magnat
Хеллбой;Станьте оперативником БРПД!;6990₽;_1-4;_60-90;14+;https://hobbygames.ru/hellboj-2019
Ужас Аркхэма. Карточная игра: Наследие Данвича. Неизмеримые и невидимые;Приготовьтесь к продолжению кошмаров!;790₽;_1-2;_60-120;14+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-nasledie-danvicha-neizmerimie-i-nevidimie
Манчкин 5: Следопуты;По следам сокровищ!;990₽;_3-6;_30-60;10+;https://hobbygames.ru/manchkin-5-sledoputi-2-e-rus-izd
Продано!;Капитализм во всей красе;550₽;_3-6;_20-30;8+;https://hobbygames.ru/prodano
Сонора;Песчаное море;2290₽;_1-4;_30-45;10+;https://hobbygames.ru/sonora
Манчкин 6,5: Бабайки из склепа;– Тебе страшно? Мне – нет!;990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-6-5-babajki-iz-sklepa
Гномы-вредители: Древние шахты;Сокровища всегда в приоритете;1890₽;_3-9;_45+;10+;https://hobbygames.ru/gnomi-vrediteli-drevnie-shahti
Манчкин: Чудо-монстры;"Пожалуй, самый сумасбродный ""Манчкин""!";990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-chudo-monstri
Руины острова Арнак: Лидеры экспедиции;Ваши новые возможности!;2290₽;_1-4;_30+;12+;https://hobbygames.ru/ruini-ostrova-arnak-lideri-jekspedicii
Раскопки;Палеонтологические гонки;3490₽;_2-5;_45;8+;https://hobbygames.ru/raskopki
Замес: Мимими;Попробуй выстоять под натиском милоты!;990₽;_2;_30-45;12+;https://hobbygames.ru/zames-mimimi
Артишоки в шоке;Овощное безумие;790₽;_2-4;_20+;10+;https://hobbygames.ru/artishoki-v-shoke
Саграда;Создай неповторимый витраж;2750₽;_1-4;_30-45;13+;https://hobbygames.ru/sagrada
Дальше и ближе;На пути к желаниям;5990₽;_2-4;_60-120;13+;https://hobbygames.ru/dalshe-i-blizhe
КвестМастер: Тайна доктора Тайма;Выбираемся из лаборатории;690₽;_1-6;_60-70;12+;https://hobbygames.ru/kvestmaster-tajna-doktora-tajma
Ётта;Смотреть, видеть… и выигрывать!;550₽;_2-4;_20-30;8+;https://hobbygames.ru/jotta
Мёртвый сезон: По щелчку!;Выживание в один клик;3290₽;_2-10;_45+;12+;https://hobbygames.ru/po-shhelchku-mertvij-sezon
Шакал: Архипелаг. Остров приливов;Вперёд, капитан!;490₽;_1-4;_30-45;6+;https://hobbygames.ru/shakal-arhipelag-ostrov-prilivov
Бобик или бублик?;Не ешьте!;1290₽;_2-6;_15;7+;https://hobbygames.ru/bobik-ili-bublik
Pixel Tactics 2;Тактическая игра с мультяшной графикой;740₽;_2+;_30-60;12+;https://hobbygames.ru/pixel-tactics-2
Свинтус: Метаморфозы;Расширяем поросячий отряд;390₽;_2-10;_15-20;8+;https://hobbygames.ru/svintus-metamorfozi
Runebound. Третья редакция. Дополнительное приключение: Ярость гор;Природа восстала!;1290₽;_2-4;_120-180;14+;https://hobbygames.ru/runebound-tretja-redakcija-dopolnitelnoe-prikljuchenie-jarost-gor
Теотиуакан: Город богов;Восславьте Солнце!;4290₽;_1-4;_90-120;14+;https://hobbygames.ru/teotiuakan-gorod-bogov
Alias: Party;Не зевать – скорее отгадать!;1990₽;_4+;_45+;12+;https://hobbygames.ru/alias-party-skazhi-inache-vecherinka
Северный круиз;Экскурсия по холодному краю;1190₽;_1-6;_15-25;10+;https://hobbygames.ru/severnij-kruiz
Охотники;Ледниковый период не за горами!;1190₽;_2-6;_30+;6+;https://hobbygames.ru/ohotniki
Манчкин 9: Пранк юрского периода;Прямиком в доистерические времена!;990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-9-prank-jurskogo-perioda
Ужас Аркхэма. Карточная игра: Наследие Данвича. Там, где ждёт погибель;Погибнуть может не только Данвич, но и весь мир;790₽;_1-2;_60-120;14+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-nasledie-danvicha-tam-gde-zhdjot-pogibel
"Мачи Коро: промокарта ""Дом культуры""";Окультуриваться надо!;50бон.;_2;_30-45;12+;https://hobbygames.ru/machi-koro-promokarta-dom-kulturi
Замес: Казаки против помидоров;"Самостоятельное дополнение к ""Замесу""";990₽;_2;_30-45;12+;https://hobbygames.ru/zames-kazaki-protiv-pomidorov
Босс-монстр;Постройте своё злодейское подземелье!;1090₽;_2-4;_30+;13+;https://hobbygames.ru/boss-monstr
EXIT-Квест: Убийство в восточном экспрессе;Один убийца, восемь подозреваемых;990₽;_1-4;_60-120;12+;https://hobbygames.ru/exit-kvest-ubijstvo-v-vostochnom-jekspresse
Большая бродилка: Ещё больше приключений;Новые герои!;470₽;_2-5;_30;8+;https://hobbygames.ru/bolshaja-brodilka-eshhjo-bolshe-prikljuchenij
